Variable,OD_DropOutTime,OD_DropOutOrder,Reg_DropOutTime,Reg_DropOutOrder
minorityrule,-8.91563738622653,1,-8.72956990396438,2
v2mecenefm_binary,-8.54350242170224,2,-8.82260364509546,1
widetargeting,-8.26440119830902,3,-7.9852999749158,5
reg.mna,-8.26440119830902,4,-8.54350242170224,3
religiousfreedom,-8.07833371604688,5,-7.89226623378473,6
includesnonstate,-8.07833371604688,6,-8.17136745717795,4
freediscussion,-7.70619875152259,7,-7.70619875152259,7
reg.eap,-7.14799630473615,8,-7.42709752812937,8
countryage_new_ln,-6.86889508134293,9,-6.86889508134293,9
offset_decay,-6.77586134021186,10,,
v2csgender_binary,-6.49676011681864,11,-6.49676011681864,10
gdppcgrowth.combined,-6.40372637568757,12,-6.40372637568757,11
judicialreform,-6.3106926345565,13,-6.3106926345565,12
reg.eur,-6.21765889342543,14,-6.21765889342543,13
social_inequality,-6.12462515229435,15,-6.12462515229435,14
repress_civilsoc,-6.12462515229435,16,-6.12462515229435,15
mk_onset_prev_year,-6.03159141116328,17,-6.03159141116328,16
tradeshare.log2.combined,-5.56642270550792,18,-5.56642270550792,17
year,-5.56642270550792,19,-5.56642270550792,18
partyban.new.0,-5.47338896437685,20,-5.47338896437685,19
year_sq,-5.47338896437685,21,-5.47338896437685,20
social_power_dist,-5.00822025872148,22,-5.00822025872148,21
efindex,-5.00822025872148,23,-5.00822025872148,22
ses_power_dist,-4.91518651759041,24,-4.91518651759041,23
newcountry,-4.91518651759041,25,-4.91518651759041,24
ios.iccpr1,-4.82215277645934,26,-4.82215277645934,25
reg.na,-4.63608529419719,27,-4.63608529419719,26
narrowtargeting,-4.2639503296729,28,-4.2639503296729,27
reg.sca,-4.2639503296729,29,-4.2639503296729,28
battledeaths.ln2,-4.07788284741076,30,-4.07788284741076,29
partyban.new.1,-3.98484910627968,31,-3.98484910627968,30
wdi.popsize.log2,-3.98484910627968,32,-3.98484910627968,31
discrimpop,-3.89181536514861,33,-3.89181536514861,32
pol_killing_approved,-3.79878162401754,34,-3.79878162401754,33
coup.try.5yr,-3.70574788288647,35,-3.70574788288647,34
mean_mk_onset_interaction,-3.70574788288647,36,-3.70574788288647,35
mk_ever,-3.70574788288647,37,-3.70574788288647,36
even_civilrights,-3.61271414175539,38,-3.61271414175539,37
mk_ongoing_count_log,-3.51968040062432,39,-3.51968040062432,38
imr.fwd.fill.sqrt,-3.42664665949325,40,-3.42664665949325,39
partyban.new.2,,41,,40
